name	population	geometry
New Delhi	317797	POINT (77.19998002005303 28.60002300924543)
Bangalore	5104047	POINT (77.55806386521755 12.97194099507442)
Athens	729137	POINT (23.73137522567936 37.98527209055226)
Baghdad	5054000	POINT (44.39192291456413 33.34059435615865)
Addis Ababa	2757729	POINT (38.69805857534868 9.035256221295754)
Tehran	7153309	POINT (51.42239817500899 35.6738886270013)
Vancouver	603502	POINT (-123.1235900763943 49.27536244271175)
Toronto	3934421	POINT (-79.42196665298843 43.70192573640844)
Buenos Aires	10929146	POINT (-58.39947723233144 -34.60055574990741)
Kabul	3043532	POINT (69.18131419070505 34.51863614490031)
Vienna	1731000	POINT (16.36469309674374 48.20196113681686)
Melbourne	93625	POINT (144.9730703759041 -37.81808545369631)
Taipei	2618772	POINT (121.568333333333 25.0358333333333)
Auckland	395982	POINT (174.7630269870796 -36.84805489493201)
Los Angeles	3694820	POINT (-118.1819263699404 33.99192410876543)
Washington, D.C.	552433	POINT (-77.01136443943716 38.90149523508705)
New York	8008278	POINT (-73.98196278740681 40.75192492259464)
London	7421209	POINT (-0.1186677024759319 51.5019405883275)
Istanbul	9945610	POINT (29.00805572700261 41.10694201243979)
Riyadh	4205961	POINT (46.77079579868825 24.64277900781644)
Cape Town	2432858	POINT (18.43304229922603 -33.91806510862875)
Moscow	10452000	POINT (37.6135769672714 55.75410998124818)
Mexico City	10811002	POINT (-99.13293406029391 19.44438830141547)
Lagos	1536	POINT (3.389585212598433 6.445207512093191)
Rome	35452	POINT (12.481312562874 41.89790148509894)
Beijing	7480601	POINT (116.3863398256594 39.93083808990906)
Nairobi	2750547	POINT (36.81471100047145 -1.281400883237779)
Jakarta	8540121	POINT (106.8274917624701 -6.172471846798885)
Bogota	6333661	POINT (-74.08528981377441 4.598369421147822)
Cairo	7734614	POINT (31.24802236112612 30.05190620510371)
Shanghai	14608512	POINT (121.4345588198202 31.21839831122833)
Tokyo	8336599	POINT (139.7494615705447 35.68696276437117)
Mumbai	12691836	POINT (72.85504343876647 19.0189362343566)
Paris	11177	POINT (2.33138946713035 48.86863878981461)
Santiago	46611	POINT (-70.66898671317483 -33.4480679569341)
Kolkata	4631392	POINT (88.32272979950551 22.49691515689642)
Rio de Janeiro	2010175	POINT (-43.22696665284366 -22.92307731561596)
Sao Paulo	10021295	POINT (-46.62696583905523 -23.55673372837896)
Sydney	3641422	POINT (151.1832339501475 -33.91806510862875)
Singapore	3289529	POINT (103.853874819099 1.294979325105942)
Hong Kong	4551579	POINT (114.183063458463 22.30692675357551)
